plante;traitement;talle;spikelet.nb;flowering date
9;T1;BM;1;
9;T1;BM;2;
9;T1;BM;3;10/04/2021
9;T1;BM;4;10/04/2021
9;T1;BM;5;10/04/2021
9;T1;BM;6;11/04/2021
9;T1;BM;7;09/04/2021
9;T1;BM;8;09/04/2021
9;T1;BM;9;11/04/2021
9;T1;BM;10;
9;T1;BM;11;10/04/2021
9;T1;BM;12;10/04/2021
9;T1;BM;13;13/04/2021
9;T1;BM;14;
9;T1;BM;15;11/04/2021
9;T1;BM;16;11/04/2021
9;T1;BM;17;10/04/2021
9;T1;BM;18;08/04/2021
9;T1;BM;19;08/04/2021
9;T1;BM;20;08/04/2021
9;T1;BM;21;08/04/2021
9;T1;T0;;13/04/2021
9;T1;T1;;10/04/2021
9;T1;T2;;10/04/2021
9;T1;T3;;14/04/2021
9;T1;T1.1;;13/04/2021
9;T1;T2.1;;14/04/2021
17;T1;BM;1;10/04/2021
17;T1;BM;2;10/04/2021
17;T1;BM;3;10/04/2021
17;T1;BM;4;09/04/2021
17;T1;BM;5;09/04/2021
17;T1;BM;6;10/04/2021
17;T1;BM;7;10/04/2021
17;T1;BM;8;10/04/2021
17;T1;BM;9;09/04/2021
17;T1;BM;10;10/04/2021
17;T1;BM;13;10/04/2021
17;T1;BM;17;08/04/2021
17;T1;BM;18;07/04/2021
17;T1;BM;19;07/04/2021
17;T1;BM;20;07/04/2021
17;T1;BM;21;07/04/2021
17;T1;BM;22;07/04/2021
17;T1;BM;23;07/04/2021
17;T1;BM;24;07/04/2021
17;T1;T0;;10/04/2021
17;T1;T1;;07/04/2021
17;T1;T2;;10/04/2021
17;T1;T3;;12/04/2021
17;T1;T1.1;;12/04/2021
17;T1;T2.1;;13/04/2021
22;T6;BM;1;12/04/2021
22;T6;BM;2;12/04/2021
22;T6;BM;3;12/04/2021
22;T6;BM;4;12/04/2021
22;T6;BM;5;12/04/2021
22;T6;BM;6;11/04/2021
22;T6;BM;7;12/04/2021
22;T6;BM;8;13/04/2021
22;T6;BM;9;10/04/2021
22;T6;BM;10;
22;T6;BM;11;11/04/2021
22;T6;BM;12;13/04/2021
22;T6;BM;13;13/04/2021
22;T6;BM;14;11/04/2021
22;T6;BM;15;11/04/2021
22;T6;BM;16;11/04/2021
22;T6;BM;17;11/04/2021
22;T6;BM;18;09/04/2021
22;T6;BM;19;11/04/2021
22;T6;BM;20;09/04/2021
22;T6;BM;21;09/04/2021
22;T6;BM;22;14/04/2021
22;T6;T0;;13/04/2021
22;T6;T1;;12/04/2021
22;T6;T2;;11/04/2021
22;T6;T3;;13/04/2021
22;T6;T1.1;;15/04/2021
22;T6;T2.1;;15/04/2021
25;T1;T0;;14/04/2021
25;T1;T1;;09/04/2021
25;T1;T2;;09/04/2021
25;T1;T3;;12/04/2021
25;T1;T1.1;;14/04/2021
25;T1;T2.1;;14/04/2021
30;T6;BM;1;
30;T6;BM;2;15/04/2021
30;T6;BM;3;15/04/2021
30;T6;BM;4;16/04/2021
30;T6;BM;5;15/04/2021
30;T6;BM;6;14/04/2021
30;T6;BM;7;15/04/2021
30;T6;BM;8;14/04/2021
30;T6;BM;9;13/04/2021
30;T6;BM;10;
30;T6;BM;11;13/04/2021
30;T6;BM;12;
30;T6;BM;13;14/04/2021
30;T6;BM;14;
30;T6;BM;15;
30;T6;BM;16;
30;T6;BM;17;
30;T6;BM;18;
30;T6;BM;19;15/04/2021
30;T6;BM;20;13/04/2021
30;T6;BM;21;13/04/2021
30;T6;T0;;04/04/2021
30;T6;T1;;05/04/2021
30;T6;T2;;06/04/2021
30;T6;T3;;07/04/2021
30;T6;T1.1;;08/04/2021
30;T6;T2.1;;09/04/2021
33;T1;BM;1;08/04/2021
33;T1;BM;2;08/04/2021
33;T1;BM;3;08/04/2021
33;T1;BM;4;08/04/2021
33;T1;BM;5;08/04/2021
33;T1;BM;6;09/04/2021
33;T1;BM;7;09/04/2021
33;T1;BM;8;06/04/2021
33;T1;BM;9;06/04/2021
33;T1;BM;10;06/04/2021
33;T1;BM;11;06/04/2021
33;T1;BM;12;06/04/2021
33;T1;BM;13;06/04/2021
33;T1;BM;14;06/04/2021
33;T1;BM;15;06/04/2021
33;T1;BM;16;06/04/2021
33;T1;BM;17;06/04/2021
33;T1;BM;18;06/04/2021
33;T1;BM;19;06/04/2021
33;T1;BM;20;06/04/2021
33;T1;BM;21;06/04/2021
33;T1;T0;;11/04/2021
33;T1;T1;;07/04/2021
33;T1;T2;;09/04/2021
33;T1;T3;;11/04/2021
33;T1;T1.1;;11/04/2021
33;T1;T2.1;;11/04/2021
38;T6;BM;1;14/04/2021
38;T6;BM;2;10/04/2021
38;T6;BM;3;11/04/2021
38;T6;BM;4;11/04/2021
38;T6;BM;5;11/04/2021
38;T6;BM;6;11/04/2021
38;T6;BM;7;09/04/2021
38;T6;BM;8;10/04/2021
38;T6;BM;9;09/04/2021
38;T6;BM;10;10/04/2021
38;T6;BM;11;09/04/2021
38;T6;BM;12;08/04/2021
38;T6;BM;13;07/04/2021
38;T6;BM;14;08/04/2021
38;T6;BM;15;08/04/2021
38;T6;BM;16;08/04/2021
38;T6;BM;17;08/04/2021
38;T6;BM;18;08/04/2021
38;T6;BM;19;08/04/2021
38;T6;BM;20;07/04/2021
38;T6;T0;;12/04/2021
38;T6;T1;;08/04/2021
38;T6;T2;;09/04/2021
38;T6;T3;;11/04/2021
38;T6;T1.1;;13/04/2021
38;T6;T2.1;;13/04/2021
40;T6;BM;1;11/04/2021
41;T1;BM;1;
41;T1;BM;2;13/04/2021
41;T1;BM;3;10/04/2021
41;T1;BM;4;10/04/2021
41;T1;BM;5;10/04/2021
41;T1;BM;6;10/04/2021
41;T1;BM;7;11/04/2021
41;T1;BM;8;11/04/2021
41;T1;BM;9;09/04/2021
41;T1;BM;10;09/04/2021
41;T1;BM;11;
41;T1;BM;12;
41;T1;BM;13;
41;T1;BM;14;08/04/2021
41;T1;BM;15;08/04/2021
41;T1;BM;16;08/04/2021
41;T1;BM;17;07/04/2021
41;T1;BM;18;07/04/2021
41;T1;BM;19;07/04/2021
41;T1;T0;;15/04/2021
41;T1;T1;;09/04/2021
41;T1;T2;;11/04/2021
41;T1;T3;;12/04/2021
41;T1;T1.1;;
41;T1;T2.1;;14/04/2021
46;T6;BM;1;20/04/2021
46;T6;BM;2;09/04/2021
46;T6;BM;3;09/04/2021
46;T6;BM;4;08/04/2021
46;T6;BM;5;08/04/2021
46;T6;BM;6;08/04/2021
46;T6;BM;7;08/04/2021
46;T6;BM;8;08/04/2021
46;T6;BM;9;08/04/2021
46;T6;BM;10;06/04/2021
46;T6;BM;11;06/04/2021
46;T6;BM;12;06/04/2021
46;T6;BM;13;06/04/2021
46;T6;BM;14;06/04/2021
46;T6;BM;15;06/04/2021
46;T6;BM;16;06/04/2021
46;T6;BM;17;06/04/2021
46;T6;BM;18;06/04/2021
46;T6;BM;19;09/04/2021
46;T6;BM;20;
46;T6;T0;;12/04/2021
46;T6;T1;;08/04/2021
46;T6;T2;;09/04/2021
46;T6;T3;;11/04/2021
46;T6;T1.1;;15/04/2021
46;T6;T2.1;;13/04/2021
49;T1;BM;1;14/04/2021
49;T1;BM;2;10/04/2021
49;T1;BM;3;10/04/2021
49;T1;BM;4;09/04/2021
49;T1;BM;5;10/04/2021
49;T1;BM;6;09/04/2021
49;T1;BM;7;09/04/2021
49;T1;BM;8;09/04/2021
49;T1;BM;9;10/04/2021
49;T1;BM;10;09/04/2021
49;T1;BM;11;08/04/2021
49;T1;BM;12;08/04/2021
49;T1;BM;13;08/04/2021
49;T1;BM;14;08/04/2021
49;T1;BM;15;08/04/2021
49;T1;BM;16;07/04/2021
49;T1;BM;17;08/04/2021
49;T1;BM;18;07/04/2021
49;T1;BM;19;06/04/2021
49;T1;BM;20;10/04/2021
49;T1;BM;21;06/04/2021
49;T1;T0;;11/04/2021
49;T1;T1;;08/04/2021
49;T1;T2;;10/04/2021
49;T1;T3;;12/04/2021
49;T1;T1.1;;13/04/2021
49;T1;T2.1;;13/04/2021
54;T6;BM;1;14/04/2021
54;T6;BM;2;
54;T6;BM;3;13/04/2021
54;T6;BM;4;13/04/2021
54;T6;BM;5;13/04/2021
54;T6;BM;6;13/04/2021
54;T6;BM;7;12/04/2021
54;T6;BM;8;19/04/2021
54;T6;BM;9;
54;T6;BM;10;12/04/2021
54;T6;BM;11;12/04/2021
54;T6;BM;12;12/04/2021
54;T6;BM;13;12/04/2021
54;T6;BM;14;12/04/2021
54;T6;BM;15;12/04/2021
54;T6;BM;16;12/04/2021
54;T6;BM;17;11/04/2021
54;T6;BM;18;11/04/2021
54;T6;BM;19;11/04/2021
54;T6;BM;20;11/04/2021
54;T6;BM;21;11/04/2021
54;T6;T1;;15/04/2021
54;T6;T2;;14/04/2021
54;T6;T3;;16/04/2021
54;T6;T1.1;;18/04/2021
54;T6;T2.1;;18/04/2021
57;T1;BM;1;10/04/2021
57;T1;BM;2;10/04/2021
57;T1;BM;3;09/04/2021
57;T1;BM;4;10/04/2021
57;T1;BM;5;09/04/2021
57;T1;BM;6;08/04/2021
57;T1;BM;7;08/04/2021
57;T1;BM;8;08/04/2021
57;T1;BM;9;08/04/2021
57;T1;BM;10;08/04/2021
57;T1;BM;11;
57;T1;BM;12;
57;T1;BM;13;
57;T1;BM;14;07/04/2021
57;T1;BM;15;08/04/2021
57;T1;BM;16;08/04/2021
57;T1;BM;17;08/04/2021
57;T1;BM;18;07/04/2021
57;T1;BM;19;
57;T1;BM;20;
57;T1;BM;21;07/04/2021
57;T1;BM;22;06/04/2021
57;T1;BM;23;10/04/2021
57;T1;T0;;11/04/2021
57;T1;T1;;08/04/2021
57;T1;T2;;09/04/2021
57;T1;T3;;11/04/2021
57;T1;T1.1;;13/04/2021
57;T1;T2.1;;13/04/2021
62;T6;BM;1;
62;T6;BM;2;13/04/2021
62;T6;BM;3;
62;T6;BM;4;12/04/2021
62;T6;BM;5;12/04/2021
62;T6;BM;6;12/04/2021
62;T6;BM;7;12/04/2021
62;T6;BM;8;12/04/2021
62;T6;BM;9;12/04/2021
62;T6;BM;10;12/04/2021
62;T6;BM;11;12/04/2021
62;T6;BM;12;11/04/2021
62;T6;BM;13;11/04/2021
62;T6;BM;14;12/04/2021
62;T6;BM;15;12/04/2021
62;T6;BM;16;12/04/2021
62;T6;BM;17;12/04/2021
62;T6;BM;18;11/04/2021
62;T6;BM;19;10/04/2021
62;T6;BM;20;10/04/2021
62;T6;BM;21;10/04/2021
62;T6;BM;22;10/05/2021
62;T6;BM;23;10/05/2021
62;T6;BM;24;10/04/2021
62;T6;T0;;14/04/2021
62;T6;T1;;12/04/2021
62;T6;T2;;12/04/2021
62;T6;T3;;13/04/2021
62;T6;T1.1;;16/04/2021
62;T6;T2.1;;15/04/2021
65;T1;BM;1;08/04/2021
65;T1;BM;2;08/04/2021
65;T1;BM;3;07/04/2021
65;T1;BM;4;08/04/2021
65;T1;BM;5;08/04/2021
65;T1;BM;6;08/04/2021
65;T1;BM;7;07/04/2021
65;T1;BM;8;07/04/2021
65;T1;BM;9;08/04/2021
65;T1;BM;10;07/04/2021
65;T1;BM;11;07/04/2021
65;T1;BM;12;07/04/2021
65;T1;BM;13;07/04/2021
65;T1;BM;14;07/04/2021
65;T1;BM;15;06/04/2021
65;T1;BM;16;07/04/2021
65;T1;BM;17;06/04/2021
65;T1;BM;18;07/04/2021
65;T1;BM;19;06/04/2021
65;T1;BM;20;06/04/2021
65;T1;BM;21;06/04/2021
65;T1;BM;22;06/04/2021
65;T1;BM;23;06/04/2021
65;T1;T0;;10/04/2021
65;T1;T1;;07/04/2021
65;T1;T2;;07/04/2021
65;T1;T3;;09/04/2021
65;T1;T1.1;;10/04/2021
65;T1;T2.1;;10/04/2021
75;T6;BM;1;10/04/2021
75;T6;BM;2;09/04/2021
75;T6;BM;3;11/04/2021
75;T6;BM;4;11/04/2021
75;T6;BM;5;09/04/2021
75;T6;BM;6;11/04/2021
75;T6;BM;7;09/04/2021
75;T6;BM;8;09/04/2021
75;T6;BM;9;10/04/2021
75;T6;BM;10;10/04/2021
75;T6;BM;11;09/04/2021
75;T6;BM;12;09/04/2021
75;T6;BM;13;08/04/2021
75;T6;BM;14;08/04/2021
75;T6;BM;15;08/04/2021
75;T6;BM;16;08/04/2021
75;T6;BM;17;08/04/2021
75;T6;BM;18;08/04/2021
75;T6;BM;19;07/04/2021
75;T6;BM;20;07/04/2021
75;T6;T0;;14/04/2021
75;T6;T1;;09/04/2021
75;T6;T2;;10/04/2021
75;T6;T3;;14/04/2021
75;T6;T1.1;;12/04/2021
75;T6;T2.1;;15/04/2021
79;T6;BM;1;20/04/2021
79;T6;BM;2;20/04/2021
79;T6;BM;3;20/04/2021
79;T6;BM;4;12/04/2021
79;T6;BM;5;12/04/2021
79;T6;BM;6;12/04/2021
79;T6;BM;7;12/04/2021
79;T6;BM;8;12/04/2021
79;T6;BM;9;12/04/2021
79;T6;BM;10;12/04/2021
79;T6;BM;11;11/04/2021
79;T6;BM;12;
79;T6;BM;13;12/04/2021
79;T6;BM;14;12/04/2021
79;T6;BM;15;11/04/2021
79;T6;BM;16;10/04/2021
79;T6;BM;17;10/04/2021
79;T6;BM;18;10/04/2021
79;T6;BM;19;10/04/2021
79;T6;BM;20;09/04/2021
79;T6;T0;;19/04/2021
79;T6;T1;;11/04/2021
79;T6;T2;;12/04/2021
79;T6;T3;;16/04/2021
79;T6;T1.1;;16/04/2021
79;T6;T2.1;;19/04/2021
89;T1;BM;1;10/04/2021
89;T1;BM;2;10/04/2021
89;T1;BM;3;10/04/2021
89;T1;BM;4;10/04/2021
89;T1;BM;5;14/04/2021
89;T1;BM;6;13/04/2021
89;T1;BM;7;11/04/2021
89;T1;BM;8;14/04/2021
89;T1;BM;9;
89;T1;BM;10;08/04/2021
89;T1;BM;11;11/04/2021
89;T1;BM;12;11/04/2021
89;T1;BM;13;10/04/2021
89;T1;BM;14;09/04/2021
89;T1;BM;15;09/04/2021
89;T1;BM;16;08/04/2021
89;T1;BM;17;08/04/2021
89;T1;BM;18;08/04/2021
89;T1;BM;19;08/04/2021
89;T1;BM;20;08/04/2021
89;T1;BM;21;07/04/2021
89;T1;BM;22;08/04/2021
89;T1;T0;;10/04/2021
89;T1;T1;;07/04/2021
89;T1;T2;;09/04/2021
89;T1;T3;;11/04/2021
89;T1;T1.1;;12/04/2021
89;T1;T2.1;;13/04/2021
