plant;scenario;sampling date;tiller;spike.name;stage;FLN.BM;ligule-difference(mm);dist ligule FL-FL-1 (mm);Dist spike heuight-ligule FL-1 (mm);Spike length (mm);obs;TS-stage
14;S6;15/03/2021;T2;14_T2;3,8;;;;;2,488051171;après TS;2
83;S6;17/03/2021;T2;83_T2;3,8;;;;;2,603342032;après TS;2
70;S6;15/03/2021;T1;70_T1;4,5;8;;;;2,603342032;après TS;2
14;S6;15/03/2021;T1;14_T1;4,5;;;;;2,798592685;après TS;2
87;S6;15/03/2021;T1;87_T1;4,2;;;;;2,889709656;après TS;2
8bleu;S0b;12/03/2021;T3;8bleu_T3;3,2;;;;;3,045910178;après TS;2
83;S6;17/03/2021;T1;83_T1;4,5;;;;;3,436411482;après TS;2
83;S6;17/03/2021;BM;83_BM;6,8;;;;;4,002638374;après TS;2
5rouge;S0a;12/03/2021;T4;5rouge_T4;2,2;;;;;1,416961878;avant TS;0
70;S6;15/03/2021;T1.1;70_T1.1;2,5;8;;;;1,506219319;avant TS;0
14;S6;15/03/2021;T3;14_T3;2,8;;;;;1,517376499;avant TS;0
87;S6;15/03/2021;T0;87_T0;3,5;;;;;1,562005219;avant TS;0
83;S6;17/03/2021;T3;83_T3;2,8;;;;;1,562005219;avant TS;0
70;S6;15/03/2021;T2.1;70_T2.1;2,8;8;;;;1,562005219;avant TS;0
5rouge;S0a;12/03/2021;T2.2;5rouge_T2.2;2,2;;;;;1,62708877;avant TS;0
8rouge;S0b;08/03/2021;T2.1;8rouge_T2.1;2,8;;;;;1,729362921;avant TS;0
87;S6;15/03/2021;T1.1;87_T1.1;2,5;;;;;1,740520102;avant TS;0
4blanc;S0b;08/03/2021;T1.1;4blanc_T1.1;2,8;;;;;1,785148822;avant TS;0
14;S6;15/03/2021;T1.1;14_T1.1;2,5;;;;;1,807463182;avant TS;0
87;S6;15/03/2021;T3;87_T3;2,8;;;;;1,840934723;avant TS;0
4bleu;S0b;12/03/2021;T1.2;4bleu_T1.2;3,5;;;;;1,896720623;avant TS;0
1bleu;S0a;12/03/2021;T1.1;1bleu_T1.1;3,2;8;;;;1,004146212;bien avant TS;0
83;S6;17/03/2021;T1.1;83_T1.1;2,5;;;;;1,416961878;bien avant TS;0
14;S6;15/03/2021;T2.1;14_T2.1;2,8;;;;;1,450433418;bien avant TS;0
83;S6;17/03/2021;T2.1;83_T2.1;2,8;;;;;1,59547676;bien avant TS;0
6rouge;S0b;12/03/2021;T2;6rouge_T2;4,5;;;;;5,310817746;inversion T1-T2 sur les photos;
6rouge;S0b;12/03/2021;T1;6rouge_T1;4,8;;;;;8,08337701;inversion T1-T2 sur les photos;
1rouge;S0a;03/03/2021;BM;1rouge_BM;5,5;;;;;1,8;juste avant TS;0
83;S6;17/03/2021;T0;83_T0;3,5;;;;;1,941349344;juste avant TS;0
6rouge;S0b;12/03/2021;T2.1;6rouge_T2.1;3,2;;;;;1,896720623;"presque TS ; inversion T1.1-T2.1 sur les photos";0
2bleu;S0b;12/03/2021;T1.1;2bleu_T1.1;2,8;;;;;1,562005219;stade double ridge;0
70;S6;15/03/2021;T3;70_T3;2,8;8;;;;1,896720623;stade TS;1
70;S6;15/03/2021;T2;70_T2;3,8;8;;;;1,941349344;stade TS;1
14;S6;15/03/2021;T0;14_T0;3,2;;;;;1,974820884;stade TS;1
4bleu;S0b;12/03/2021;T1.1;4bleu_T1.1;3,5;;;;;2,061846889;stade TS;1
4bleu;S0b;12/03/2021;T3;4bleu_T3;3,2;;;;;2,142178586;stade TS;1
4bleu;S0b;12/03/2021;T1.1;4bleu_T1.1;3,5;;;;;2,147757177;stade TS;1
2blanc;S0b;08/03/2021;T3;2blanc_T3;2,8;;;;;2,147757177;stade TS;1
7bleu;S0a;12/03/2021;T2.1;7bleu_T2.1;3,2;;;;;2,264907568;stade TS;1
2blanc;S0b;08/03/2021;T2;2blanc_T2;3,8;;;;;2,264907568;stade TS;1
5rouge;S0a;12/03/2021;T2.1;5rouge_T2.1;3,2;;;;;2,277924278;stade TS;1
2bleu;S0b;12/03/2021;T3;2bleu_T3;3,8;;;;;2,277924278;stade TS;1
2blanc;S0b;08/03/2021;T2;2blanc_T2;3,8;;;;;2,277924278;stade TS;1
80;S7;26/03/2021;T0.1;80_T0.1;;7;55;xx;xx;2,287221928;stade TS;1
8rouge;S0b;08/03/2021;T0;8rouge_T0;3,2;;;;;2,287221928;stade TS;1
80;S7;26/03/2021;T3.1;80_T3.1;;7;55;xx;xx;2,343007829;stade TS;1
6rouge;S0b;12/03/2021;T3;6rouge_T3;3,5;;;;;2,343007829;stade TS;1
80;S7;26/03/2021;T4;80_T4;;7;55;xx;xx;2,39879373;stade TS;1
8bleu;S0b;12/03/2021;T1.1;8bleu_T1.1;2,8;;;;;2,40809138;stade TS;1
2bleu;S0b;12/03/2021;T0;2bleu_T0;3,5;;;;;2,473174931;stade TS;1
4blanc;S0b;08/03/2021;T2;4blanc_T2;3,8;;;;;2,473174931;stade TS;1
5blanc;S0a;03/03/2021;BM;5blanc_BM;6,2;;;;;2,5;stade TS;1
4blanc;S0b;08/03/2021;T1;4blanc_T1;4,2;;;;;2,668425583;stade TS;1
3rouge;S0a;12/03/2021;T2.1;3rouge_T2.1;3,2;;;;;2,795989343;stade TS;1
6rouge;S0b;12/03/2021;T0;6rouge_T0;3,8;;;;;2,798592685;stade TS;1
3rouge;S0a;12/03/2021;T1.1;3rouge_T1.1;3,2;;;;;2,811609395;stade TS;1
5rouge;S0a;12/03/2021;T3;5rouge_T3;3,5;;;;;2,863676235;stade TS;1
8rouge;S0b;08/03/2021;T2;8rouge_T2;4;;;;;2,993843337;stade TS;1
7bleu;S0a;12/03/2021;T1.1;7bleu_T1.1;3,2;;;;;2,999050021;stade TS;1
70;S6;15/03/2021;T0;70_T0;3,5;8;;;;1,896720623;"stade TS ; épi cassé";1
6rouge;S0b;12/03/2021;T1.1;6rouge_T1.1;3,8;;;;;2,343007829;"stade TS ; inversion T1.1-T2.1 sur les photos";1
8bleu;S0b;12/03/2021;T2.1;8bleu_T2.1;2,8;;;;;2,008292425;stade TS ?;1
1bleu;S0a;12/03/2021;T3;1bleu_T3;3;8;;;;2,064078326;stade TS ?;1
2blanc;S0b;08/03/2021;T1;2blanc_T1;4,2;;;;;2,064078326;stade TS ?;1
87;S6;15/03/2021;T2;87_T2;3,5;;;;;2,082673626;stade TS ?;1
5blanc;S0a;03/03/2021;T1;5blanc_T1;;;;;;2;stade TS pile;1
7rouge;S0a;04/03/2021;BM;7rouge_BM;6;;;;;2;stade TS pile;1
80;S7;26/03/2021;T2.2;80_T2.2;;7;55;xx;xx;2,298379108;stade TS pile;1
77;S2;31/03/2021;T4;77_T4;;8;75;xx;xx;22;T0 ?;
2blanc;S0b;08/03/2021;T2.1;2blanc_T2.1;2,5;;;;;1,539690859;;
80;S7;26/03/2021;T0.1;80_T0.1;;7;55;xx;xx;2,231436028;;
1bleu;S0a;12/03/2021;T1;1bleu_T1;4,8;8;;;;2,811609395;;
70;S6;15/03/2021;BM;70_BM;6,8;8;;;;2,993843337;;
5rouge;S0a;12/03/2021;T3;5rouge_T3;3,5;;;;;3,045910178;;
8bleu;S0b;12/03/2021;T0;8bleu_T0;;;;;;3,124010439;;
5rouge;S0a;12/03/2021;T1.1;5rouge_T1.1;3,2;;;;;3,2021107;;
1bleu;S0a;12/03/2021;T2;1bleu_T2;4,2;8;;;;3,436411482;;
3bleu;S0a;08/03/2021;T2;3bleu_T2;;;;;;3,436411482;;
3rouge;S0a;12/03/2021;T0;3rouge_T0;3,8;;;;;3,553561874;;
74;S4;26/03/2021;T2.2;74_T2.2;;7;55;;;3,748812526;;
7bleu;S0a;12/03/2021;T3;7bleu_T3;3,8;;;;;3,831794054;;
5rouge;S0a;12/03/2021;T0;5rouge_T0;4,2;;;;;3,905013048;;
81;S2;27/03/2021;T1.2;81_T1.2;;7;50;xx;xx;3,983113309;;
7bleu;S0a;12/03/2021;T0;7bleu_T0;4;;;;;4,002638374;;
3bleu;S0a;08/03/2021;T1;3bleu_T1;;;;;;4,002638374;;
81;S2;27/03/2021;T2.1;81_T2.1;;7;50;xx;xx;4,100263701;;
8rouge;S0b;08/03/2021;T1;8rouge_T1;4,2;;;;;4,100263701;;
73;S2;27/03/2021;T2.2;73_T2.2;;7;70;xx;xx;4,295514353;;
1bleu;S0a;12/03/2021;BM;1bleu_BM;7,2;8;;;;4,295514353;;
2blanc;S0b;08/03/2021;BM;2blanc_BM;6,5;;;;;4,393139679;;
4bleu;S0b;12/03/2021;T2;4bleu_T2;4,2;;;;;4,515171337;;
3rouge;S0a;12/03/2021;T3;3rouge_T3;3,5;;;;;4,588390332;;
81;S2;27/03/2021;T4;81_T4;;7;50;xx;xx;4,686015658;;
2bleu;S0b;12/03/2021;T2;2bleu_T2;4,2;;;;;4,686015658;;
4blanc;S0b;08/03/2021;BM;4blanc_BM;7,2;;;;;4,822691115;;
42;S2;23/03/2021;T4;42_T4;;7;30;xx;xx;5,135529287;;
14;S6;15/03/2021;BM;14_BM;6,8;;;;;5,247361284;;
76;S7;29/03/2021;T4;76_T4;;8;70;xx;xx;5,62321879;;
2bleu;S0b;12/03/2021;T1;2bleu_T1;4,8;;;;;5,857519572;;
8rouge;S0b;08/03/2021;BM;8rouge_BM;6,5;;;;;5,97955123;;
82;S4;27/03/2021;T2.2;82_T2.2;;7;80;xx;xx;6,028363893;;
82;S4;27/03/2021;T4;82_T4;;7;80;xx;xx;6,028363893;;
74;S4;26/03/2021;T1.1;74_T1.1;;7;55;;;6,345646203;;
8bleu;S0b;12/03/2021;T2;8bleu_T2;4,5;;;;;6,372981295;;
73;S2;27/03/2021;T2.1;73_T2.1;;7;70;xx;xx;6,492084193;;
74;S4;26/03/2021;T1.2;74_T1.2;;7;55;;;6,560421921;;
47;S7;23/03/2021;T0;47_T0;;7;30;xx;-90;6,588980972;;
78;S4;27/03/2021;T4;78_T4;;7;65;xx;xx;6,810342756;;
5rouge;S0a;12/03/2021;T2;5rouge_T2;4,8;;;;;6,872822965;;
3rouge;S0a;12/03/2021;T2;3rouge_T2;5,8;;;;;7,185224009;;
4bleu;S0b;12/03/2021;T1;4bleu_T1;4,5;;;;;7,185224009;;
8bleu;S0b;12/03/2021;T1;8bleu_T1;4,8;;;;;7,185224009;;
77;S2;31/03/2021;T2.2;77_T2.2;;8;75;xx;xx;7,26332427;;
80;S7;26/03/2021;T2.1;80_T2.1;;7;55;xx;xx;7,273086802;;
73;S2;27/03/2021;T4;73_T4;;7;70;xx;xx;7,341424531;;
74;S4;26/03/2021;T4;74_T4;;7;55;;;7,810026097;;
74;S4;26/03/2021;T0;74_T0;;7;55;;;7,907651423;;
7bleu;S0a;12/03/2021;T1;7bleu_T1;5;;;;;8,278627662;;
81;S2;27/03/2021;T1.1;81_T1.1;;7;50;xx;xx;8,395778054;;
5rouge;S0a;12/03/2021;T1;5rouge_T1;5,2;;;;;8,395778054;;
73;S2;27/03/2021;T1.1;73_T1.1;;7;70;xx;xx;8,591028706;;
4bleu;S0b;12/03/2021;BM;4bleu_BM;7;;;;;8,981530011;;
86;S4;01/04/2021;T1.2;86_T1.2;;8;75;xx;xx;9;;
76;S7;29/03/2021;T2.1;76_T2.1;;8;70;xx;xx;9,030342674;;
3rouge;S0a;12/03/2021;T1;3rouge_T1;5;;;;;9,030342674;;
2bleu;S0b;12/03/2021;BM;2bleu_BM;7,2;;;;;9,762532621;;
5rouge;S0a;12/03/2021;BM;5rouge_BM;7,8;;;;;9,840632882;;
47;S7;23/03/2021;T3;47_T3;;7;30;xx;-115;10,07726502;;
42;S2;23/03/2021;T1.1;42_T1.1;;7;30;xx;xx;10,17416179;;
80;S7;26/03/2021;T1.1;80_T1.1;;7;55;xx;xx;10,20184659;;
78;S4;27/03/2021;T1.1;78_T1.1;;7;65;xx;-105;10,25065925;;
78;S4;27/03/2021;T2.1;78_T2.1;;7;65;xx;xx;10,73878588;;
47;S7;23/03/2021;T2;47_T2;;7;30;xx;-115;11,14312958;;
73;S2;27/03/2021;T0;73_T0;;7;70;xx;-125;11,51978849;;
76;S7;29/03/2021;T1.1;76_T1.1;;8;70;xx;xx;11,51978849;;
6rouge;S0b;12/03/2021;BM;6rouge_BM;7,2;;;;;11,71503914;;
82;S4;27/03/2021;T2.1;82_T2.1;;7;80;xx;xx;12,3007911;;
82;S4;27/03/2021;T1.1;82_T1.1;;7;80;xx;-100;12,59366708;;
81;S2;27/03/2021;T3;81_T3;;7;50;xx;xx;12,93535572;;
81;S2;27/03/2021;T0;81_T0;;7;50;xx;-100;12,93535572;;
80;S7;26/03/2021;T0;80_T0;;7;55;xx;xx;13,27704436;;
7bleu;S0a;12/03/2021;BM;7bleu_BM;7,5;;;;;14,39973562;;
80;S7;26/03/2021;T3;80_T3;;7;55;xx;xx;14,64379893;;
82;S4;27/03/2021;T0;82_T0;;7;80;xx;xx;14,88786225;;
42;S2;23/03/2021;T3;42_T3;;7;30;xx;-110;15;;
7blanc;S0a;19/03/2021;T1.1;7blanc_T1.1;;7;100;xx;-80;15;;
8blanc;S0b;19/03/2021;T3;8blanc_T3;;7;115;xx;-90;15;;
74;S4;26/03/2021;T3;74_T3;;7;55;xx;-110;15,37598888;;
8bleu;S0b;12/03/2021;BM;8bleu_BM;7,5;;;;;15,86411551;;
88;S7;30/03/2021;T0;88_T0;;8;85;xx;xx;16;;
3rouge;S0a;12/03/2021;BM;3rouge_BM;7,5;;;;;16,69393078;;
42;S2;23/03/2021;T0;42_T0;;7;30;xx;-120;17;;
73;S2;27/03/2021;T3;73_T3;;7;70;xx;-110;17;;
78;S4;27/03/2021;T3;78_T3;;7;65;xx;-100;17;;
8blanc;S0b;19/03/2021;T0;8blanc_T0;;7;115;xx;-90;18;;
76;S7;29/03/2021;T0;76_T0;;8;70;xx;-100;18;;
78;S4;27/03/2021;T0;78_T0;;7;65;xx;-80;18;;
85;S2;01/04/2021;T4;85_T4;;8;80;xx;xx;18;;
76;S7;29/03/2021;T3;76_T3;;8;70;xx;-95;19;;
88;S7;30/03/2021;T3;88_T3;;8;85;xx;xx;19;;
47;S7;23/03/2021;T1;47_T1;;7;30;0;-95;20;;
42;S2;23/03/2021;T2;42_T2;;7;30;xx;-100;20;;
73;S2;27/03/2021;T2;73_T2;;7;70;xx;-60;22;;
85;S2;01/04/2021;T2.1;85_T2.1;;8;80;xx;xx;22;;
82;S4;27/03/2021;T3;82_T3;;7;80;xx;-105;24;;
7blanc;S0a;19/03/2021;T0;7blanc_T0;;7;100;xx;-70;25;;
4rouge;S0b;19/03/2021;T3;4rouge_T3;;7;115;xx;-80;25;;
74;S4;26/03/2021;T2;74_T2;;7;55;xx;-105;25;;
80;S7;26/03/2021;T2;80_T2;;7;55;xx;-75;25;;
88;S7;30/03/2021;T1.1;88_T1.1;;8;85;xx;xx;28;;
85;S2;01/04/2021;T0;85_T0;;8;80;xx;xx;28;;
42;S2;23/03/2021;T1;42_T1;;7;30;xx;-100;30;;
6bleu;S0b;22/03/2021;T0;6bleu_T0;;8;100;5;-90;30;;
86;S4;01/04/2021;T3;86_T3;;8;75;xx;-75;30;;
6bleu;S0b;22/03/2021;T2;6bleu_T2;;8;100;30;-80;32;;
80;S7;26/03/2021;T1;80_T1;;7;55;7;-70;32;;
81;S2;27/03/2021;T2;81_T2;;7;50;xx;-105;32;;
74;S4;26/03/2021;T1;74_T1;;7;55;-3;-100;33;;
47;S7;23/03/2021;BM;47_BM;;7;30;30;-70;34;;
82;S4;27/03/2021;T2;82_T2;;7;80;xx;-110;34;;
78;S4;27/03/2021;T2;78_T2;;7;65;xx;-100;34;;
4rouge;S0b;19/03/2021;T2;4rouge_T2;;7;115;xx;-70;35;;
76;S7;29/03/2021;T2;76_T2;;8;70;10;-80;35;;
77;S2;31/03/2021;T1.1;77_T1.1;;8;75;xx;xx;35;;
86;S4;01/04/2021;T1.1;86_T1.1;;8;75;xx;-55;35;;
85;S2;01/04/2021;T1.1;85_T1.1;;8;80;xx;-100;35;;
8blanc;S0b;19/03/2021;T2;8blanc_T2;;7;115;20;-65;36;;
73;S2;27/03/2021;T1;73_T1;;7;70;xx;-95;37;;
81;S2;27/03/2021;T1;81_T1;;7;50;xx;-90;37;;
88;S7;30/03/2021;T2;88_T2;;8;85;20;-85;37;;
7blanc;S0a;19/03/2021;T2;7blanc_T2;;7;100;23;-60;40;;
6bleu;S0b;22/03/2021;T1;6bleu_T1;;8;100;70;-50;40;;
85;S2;01/04/2021;T3;85_T3;;8;80;xx;-85;40;;
82;S4;27/03/2021;T1;82_T1;;7;80;5;-80;42;;
88;S7;30/03/2021;T1;88_T1;;8;85;90;-50;42;;
86;S4;01/04/2021;T0;86_T0;;8;75;xx;-65;44;;
78;S4;27/03/2021;T1;78_T1;;7;65;8;-80;45;;
80;S7;26/03/2021;BM;80_BM;;7;55;55;-40;46;;
76;S7;29/03/2021;T1;76_T1;;8;70;60;-55;46;;
42;S2;23/03/2021;BM;42_BM;;7;30;30;-75;48;;
77;S2;31/03/2021;T3;77_T3;;8;75;xx;-80;49;;
4rouge;S0b;19/03/2021;T1;4rouge_T1;;7;115;90;-20;55;;
8blanc;S0b;19/03/2021;T1;8blanc_T1;;7;115;90;-20;55;;
7blanc;S0a;19/03/2021;T1;7blanc_T1;;7;100;55;-35;58;;
74;S4;26/03/2021;BM;74_BM;;7;55;55;-50;62;;
73;S2;27/03/2021;BM;73_BM;;7;70;70;-50;65;;
81;S2;27/03/2021;BM;81_BM;;7;50;50;-55;65;;
78;S4;27/03/2021;BM;78_BM;;7;65;65;-40;65;;
85;S2;01/04/2021;T2;85_T2;;8;80;30;-65;65;;
82;S4;27/03/2021;BM;82_BM;;7;80;80;-35;70;;
85;S2;01/04/2021;T1;85_T1;;8;80;30;-60;70;;
76;S7;29/03/2021;BM;76_BM;;8;70;70;-35;72;;
86;S4;01/04/2021;T2;86_T2;;8;75;38;-40;75;;
8blanc;S0b;19/03/2021;BM;8blanc_BM;;7;115;115;30;80;;
6bleu;S0b;22/03/2021;BM;6bleu_BM;;8;100;100;0;80;;
88;S7;30/03/2021;BM;88_BM;;8;85;85;-25;80;;
77;S2;31/03/2021;T2;77_T2;;8;75;60;-35;80;;
4rouge;S0b;19/03/2021;BM;4rouge_BM;;7;115;115;25;85;;
77;S2;31/03/2021;T1;77_T1;;8;75;55;-40;85;;
7blanc;S0a;19/03/2021;BM;7blanc_BM;;7;100;100;25;100;;
86;S4;01/04/2021;T1;86_T1;;8;75;75;-5;100;;
86;S4;01/04/2021;BM;86_BM;;8;75;75;8;105;;
77;S2;31/03/2021;BM;77_BM;;8;75;75;0;115;;
85;S2;01/04/2021;BM;85_BM;;8;80;80;0;115;;